00011011 0011,00000000 0010,00001010 0000,00001010 0011,00000000 0001,00000000 0011
604,117,86,80,81,56
605,117,86,80,80,56
603,117,88,80,80,56
603,117,88,80,80,56
603,117,88,80,80,56
603,117,88,80,80,56
605,117,88,80,78,56
605,117,88,80,78,56
606,117,88,79,78,56
606,117,88,79,78,56
608,115,88,79,78,56
608,115,88,79,78,56
608,115,88,79,78,56
608,115,88,79,78,56
610,115,88,79,77,55
609,115,88,80,77,55
608,115,88,81,76,56
608,115,88,81,76,56
610,115,88,81,74,56
610,115,88,80,75,56
611,115,88,80,74,56
610,115,88,81,74,56
610,115,88,81,74,56
610,115,88,81,74,56
610,115,88,81,74,56
610,115,88,81,74,56
610,115,88,81,74,56
610,115,88,81,74,56
610,115,88,81,74,56
610,115,87,81,74,56
612,115,85,81,73,57
614,115,85,81,73,55
615,115,85,81,73,55
615,115,85,81,73,55
615,115,84,81,73,56
615,115,85,81,73,55
614,115,86,81,73,55
615,115,85,81,72,56
615,115,85,81,73,55
615,115,85,81,72,56
615,115,85,81,72,56
617,115,85,81,70,56
618,115,85,81,69,56
619,115,85,80,69,56
617,115,87,80,69,56
617,115,87,80,69,56
619,115,85,80,69,56
618,115,85,81,69,56
617,115,86,80,70,56
618,115,85,80,70,56
619,115,83,81,69,56
620,115,83,80,69,56
619,116,83,80,71,55
616,116,84,82,71,55
614,116,85,83,71,55
615,113,85,82,71,58
615,112,85,82,70,60
615,112,85,83,69,60
615,112,85,84,68,60
616,112,85,84,68,59
616,115,85,83,67,57
617,115,85,82,68,57
616,116,86,82,68,56
617,115,86,82,68,56
616,116,86,82,68,56
615,117,86,82,68,56
615,117,86,82,68,56
615,117,86,82,68,56
615,117,86,82,68,56
615,117,86,82,68,56
615,117,86,82,68,56
615,117,86,82,68,56
613,115,86,84,69,57
613,113,86,84,69,59
613,113,86,84,69,59
612,113,86,85,69,59
612,113,86,85,69,59
612,113,86,85,69,59
613,113,86,84,69,59
613,113,86,84,69,59
613,113,86,84,69,58
612,113,86,85,69,59
615,113,85,83,69,59
615,113,84,84,69,59
615,113,84,83,69,60
615,113,84,82,69,61
615,113,84,82,70,60
615,113,84,82,70,60
615,113,84,82,70,60
614,113,85,82,70,60
614,113,85,82,70,60
614,113,84,83,70,60
613,114,84,83,70,60
614,114,84,83,70,59
615,114,84,82,70,59
615,113,84,83,70,59
615,113,84,83,70,59
615,113,84,83,70,59
614,113,84,84,71,58
615,113,84,83,70,59
614,113,84,84,71,58
614,113,84,84,71,58
615,113,84,83,71,58
617,113,84,81,71,58
616,113,84,82,71,58
617,113,84,81,69,60
617,113,84,81,69,60
617,113,84,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,81,69,60
618,113,83,82,68,60
619,113,83,81,68,60
619,113,83,81,68,60
619,113,83,81,68,60
619,113,83,81,68,60
619,113,83,81,68,60
619,113,83,81,68,60
619,113,83,81,68,60
619,113,83,81,68,60
617,113,84,81,69,60
617,113,84,81,69,60
617,113,84,81,69,60
619,113,84,81,69,58
621,112,85,81,69,56
622,110,86,81,68,56
621,112,86,81,68,56
624,112,82,82,68,56
